term,speech_part,meaning
abay na pandangal,,pandangal n. maid of honour (US: honor)
abayan,,"(inaabayan, inabayan, aabayan) v., inf. escort; act as best man or bridesmaid"
abdikasyon,,n. abdication
abelyana,,adj. tan; nut-brown
abenida,,n. avenue; wide street
abentura,,n. adventure
abenturera,,n. adventuress
abenturera,,n. adventuress
abenturera-ro,,n. adventurer; adventuress
abenturero,,n. adventurer
abenturero,,n. adventurer
abenturosa-so,,adj. adventurous
aberia,,aberia n. mechanical trouble (machine/vehicle)
aberya,,aberya n. mechanical trouble (machine/vehicle)
abestrus,,"n., zoo. ostrich"
abilidad,,abilidad n. ability; talent; shrewdness
abiso,,n. information; notice; notification
abisuhan,,"(inaabisuhan, inabisuhan, aabisuhan) v., inf. notify; forewarn; tell beforehand"
abito,,abito n. habit; dress of a religious order
abitsuwelas,,"n., bot. small type of kidney bean"
abitswelas,,"n., bot. variety of kidney beans"
abla,,abla n. idle talk; too much talk
abnormal,,abnormal adj. abnormal
abo,,abo n. ash; ashes
abog,,abog n. 1. notice; 2. noise
abogado,,n. 1. lawyer; attorney; 2. solicitor; lawyer (for government); 3. councel
abogasia,,abogasia n. law; the legal profession
abogasya,,abogasya n. law; the legal profession
abok,,abok n. dust
abokado,,"n., bot. avocado"
abonado,,"adj. ref. to a person who add money to someone else, because he is short of money"
abono,,n. 1. fertilizer; 2. payment in advance
abonohan,,"(inaabonohan, inabonohan, aabonohan) v., inf. 1. fertilize; 2. disburse or pay in advance"
aborsiyon,,aborsiyon n. abortion
abot,,abot adj. within reach
abot,,abot n. power; capacity; range
abot,,adj. overtaken; abreast with
abot ng isang kabisa,,"comp., n., mat. linear function"
abot ng isip,,"abot ng isip comp., n. scope; distance the mind can reach"
abot ng mata,,"mata comp., n. visibility"
abot ng tanaw,,"tanaw comp., n. visibility"
abot ng tingin,,"tingin comp., n. visibility"
abot-dinig,,abot-dinig adj. within hearing
abot-isip,,adv. within mental grasp
abot-tanaw,,abot-tanaw adj. within seeing distance
abot-tanaw,,abot-tanaw n. horizon
abot-tingin,,abot-tingin n. visibility
aboy,,aboy adj. being driven to a certain place
abrasador,,abrasador n. leg pillow
abrasadurin,,"abrasadurin (inaabrasador, inabrasador, aabrasadurin) v., inf. use as leg pillow"
abrasete,,"adj., adv. walking arm-in-arm"
abrasibo,,adj. abrasive
abrigo,,n. overcoat; sweater
abriguhan,,"(inaabriguhan, inabriguhan, aabriguhan) v., inf. put an overcoat or sweater on someone"
Abril,,Abril n. April (month)
abrilata,,n. can-opener
abrisete,,"adj., adv. walking arm-in-arm"
absen,,"n., adj. absence [n]; absent [adj.]"
absent,,"n., adj. absence [n]; absent [adj.]"
abses,,"n., med. abscess"
abseso,,"n., med. abscess"
absisa,,"n., mat. abscissa"
abstinensiya,,abstinensiya n. abstinence
abstinensya,,abstinensya n. abstinence
absulbihan,,"absulbihan (inaabsulbihan, inabsulbihan, aabsulbihan) v., inf. absolve"
absulusyon,,absulusyon n. absolution; forgiveness
absulutismo,,n. absolutism
absulutista,,n. absolutist
absuluto,,adj. absolute
absuwelto,,adj. absolved; acquitted
absuweltuhin,,"absuweltuhin (inaabsuwelto, inabsuwelto, aabsuweltuhin) v., inf. forgive"
abswelto,,adj. absolved; acquitted
abubot,,"n. knick-knacks; ornaments, etc.; worthless material"
abugado,,n. 1. lawyer; attorney; 2. solicitor (for government); 3. councel
abuhan,,abuhan n. ash tray
abuhin,,"abuhin (inaabo, inabo, aabuhin) v., inf. clean with ashes"
abuhin,,"abuhin, abuhin adj. ash-colored; grey"
abukado,,"n., bot. avocado"
abukay,,"abukay n., zoo. white parrot"
abuloy,,n. 1. financial aid; 2. contribution; 3. money raised by many people; 4. subsidy
abuluyan,,"abuluyan (inaabuluyan, inabuluyan, aabuluyan) v., inf. give some help"
abuluyan,,abuluyan n. mutual aid
abunado,,"adj. ref. to a person who add money to someone, because he is short of money"
aburido,,"aburido, aburido adj. upset; distrurbed; worried; depressed"
aburiduhin,,"aburiduhin (inaabudiro, inabudiro, aaburiduhin) v., inf. upset, disturb or worry"
abusada,,adj. abusive (ref. to a person)
abusado,,adj. abusive (ref. to a person)
abusera,,"adj., n. abusive; one who abuses other's kindness"
abusero,,"adj., n. abusive; one who abuses other's kindness"
abuso,,n. abuse; maltreatment
abusuhin,,"(inaabuso, inabuso, aabusuhin) v., inf. 1. abuse; 2. take advantage of; 3. ill-treat; 4. rape a woman"
abut-abot,,adj. continuous; chain
abut-abot na paninigarilyo,,"comp., n. chain-smoking"
abutan,,"(inaabutan, inabutan, aabutan) v., inf. overtake someone; catch up"
abutan,,"abutan (inaabutan, inabutan, aabutan) v., inf. hand something"
abutan,,abutan n. cash on delivery; C.O.D
abutin,,"(inaabot, inabot, aabutin) v., inf. overtake someone; catch up"
abutin,,"abutin (inaabot, inabot, aabutin) v., inf. reach for"
abuwela,,n. Grandmother
abuwelo,,n. Grandfather
abuy-aboy,,abuy-aboy adj. being driven to a certain place
abyad,,abyad n. job or task in hand
abyador,,abyador n. aviator; pilot
abyarin,,"abyarin (inaabyad, inabyad, aabyarin) v., inf. attend to a job, etc.; have a job in hand"
abyasyon,,abyasyon n. aviation
abyog,,abyog n. swing; dangle
ada,,n. fairy
Adarna,,"n., zoo. name of a legendary bird"
Adat,,n. Law of the Muslim
adberb,,"n., gram. adverb"
adberbyo,,"n., gram. adverb"
Adbiyento,,n. Advent
adelantada,,adj. boastful
adelantado,,adj. 1. ahead of time; 2. in advance (e.g. payment); 3. progressive; 4. precocious
adelanto,,n. down payment
adelpa,,"n., bot. shrub with a flower called oleander"
adhika,,adhika n. ambition; wish; desire
adhikain,,"adhikain (inaadhika, inadhika, aadhikain) v., inf. work diligently"
adhikain,,adhikain n. ambition; wish; desire
adik,,n. addict
adikto,,n. addict
"adisyon, adisyon",,n. addition
adisyunal,,adisyunal adj. additional
Adiyos,,Adiyos! intrj. Good-bye!
adlaw,,n. sun
administrador,,administrador n. administrator
administrasyon,,administrasyon n. administration
admiral,,admiral n. admiral
adobe,,n. heavy clay for making adobe bricks; quarrystone
adobo,,n. pickled pork or chicken with condiments
adobong palaka,,"adobong palaka comp., n. frog cooked in vinegar with condiments"
adolesens,,n. adolescence
adolesent,,adj. adolescent
adopsyon,,adopsyon n. adoption
adorador,,adorador n. adorer; worshipper
adorasyon,,adorasyon n. adoration; worship
adorno,,n. adornment; decoration
adornohan,,"adornohan (inaadornohan, inadornohan, aadornohan) v., inf. adorn; decorate"
adres,,adres n. 1. address; place of residence; 2. public speech
adresan,,"adresan (inaadresan, inadresan, aadresan) v., inf. address; place an address on an envelope, etc."
adult,,"n., adj. adult"
adulterado,,adj. adulterated
adulterasyon,,adulterasyon n. adultaration
adulto,,"n., adj. adult"
adwana,,n. customs; customhouse
adya,,adya n. protection and help; deliverance
adyenda,,n. agenda
adyo,,adyo n. 1. going upstairs; 2. dropping in for a visit when passing by
Adyos,,Adyos! intrj. Good-bye!
adyusan,,"adyusan (inaadyusan, inadyusan, aadyusan) v., inf. say good-bye"
adyusan,,adyusan n. act of saying good-bye to one another
aeroplano,,n. aeroplane; airplane; aircraft
aerostatiko,,n. aerostatics
ag-ag,,"adj. sifted, as grain or powder"
ag-agan,,"ag-agan (inaag-agan, inag-agan, aag-agan) v., inf. sift grain or powder"
aga,,n. earliness
agaas,,agaas n. rustling sound
agad,,"agad adj. sifted, as grain or powder"
agad,,agad adv. 1. immediately; without delay; 2. quickly; forthwith
agad-agad,,agad-agad adv. instantly; unhesitatingly
agahan,,"(inaagahan, inagahan, aagahan) v., inf. make happen early"
agahan,,n. breakfast
"agahas, agahas",,n. wheeze; sound caused by difficult breathing
agam-agam,,n. 1. reflection; meditation; 2. anxiety; foreboding
agam-agamin,,"(inaagam-agam, inagam-agam, aagam-agamin) v., inf. feel anxiety"
agamagam,,n. 1. reflection; meditation; 2. anxiety; foreboding
agamahan,,n. religion
agap,,adj. punctual; alert; anticipating
agap,,n. 1. quickness; 2. anticipation; advance; 3. prevention
agapan,,"(inaagapan, inagapan, aagapan) v., inf. prevent because of being alert; be always ready"
agapay,,"adj., adv. side by side; alongside"
agapayanan,,"(inaagapayanan, inagapayanan, aagapayanan) v., inf. be or stay at the side of"
agapayang kabit,,"comp., n. parallel connection (electr.)"
agapayang salikop,,"comp., n. parallel circuit (electr.)"
agaran,,agaran adj. made at once; used as quickly as supplied
agarin,,"agarin (inaagad, inagad, aagarin) v., inf. use materials as soon as they are delivered"
agas,,n. miscarriage; accidental abortion
agas-as,,agas-as n. grating or harsh noise
agasas,,agasas n. grating or harsh noise
agata,,"n. agate (geology, mineral)"
agatat,,agatat n. 1. sound when a knife hits bone when cutting meat; 2. squeaking sound; 3. notch
agaw-aw,,agaw-aw n. hateful noise
agaw-buhay,,adj. moribund; in a dying condition
agaw-dilim,,agaw-dilim n. dusk; time just before dark
agaw-tulog,,n. half-sleep; falling asleep
agawan,,"(inaagawan, inagawan, aagawan) v., inf. 1. rob; 2. despoil; plunder; snatch from"
agawan,,agawan adj. vieing with one another
agawin,,"(inaagaw, inagaw, aagawin) v., inf. 1. snatch; grab; 2. wrench; 3. wrest; 4. abduct"
agay-ay,,n. mountain breeze
agham,,agham n. science; scientific knowledge
agham politiko,,n. political science
aghimo,,n. technics; technique
aghimuan,,n. technology
aghimuin,,adj. technical
agihap,,n. sores or eruptions at the corners of the mouth
agik-ik,,agik-ik n. giggle
agikik,,agikik n. giggle
agila,,agila n. 1. amulet; 2. economy; thrift
agila,,"agila n., zoo. eagle"
agimat,,n. belief; amulet; charm
agimatan,,n. economics
aginaldo,,n. Christmas present
aginalduhan,,n. Christmas present
aging-ing,,aging-ing n. 1. warbling of voice as in tremolo; 2. humming sound
aginging,,aginging n. 1. warbling of voice as in tremolo; 2. humming sound
agit-it,,agit-it n. squeak; squeaking sound
agitit,,agitit n. squeak; squeaking sound
agiw,,n. 1. soot; 2. dirty or sooty cobweb
aglahi,,aglahi n. 1. mockery; 2. joke; jest
aglahiin,,"(inaaglahi, inaglahi, aaglahiin) v., inf. jibe, gibe, jeer or scoff"
agnas,,agnas n. erosion
agnasin,,"agnasin (inaagnas, inagnas, aagnasin) v., inf. erode; wear away"
agnos,,n. locket
agnostika,,agnostika n. agnostic
agnostiko,,agnostiko n. agnostic
agong,,n. musical instrument
agos,,n. current (of water); flow of liquid or water
Agosto,,n. August (the month of - )
agoy,,agoy n. 1. painful movements of the body; 2. shaking of a poorly constructed building
agpang,,agpang adj. fitted; exact; right; adequate; applicable
agpangan,,"agpangan (inaagpang, inagpang, aagpangan) v., inf. fit something with what suits it"
agrabyado,,adj. 1. offended; aggrieved; injured; 2. treated unfairly
agrabyaduhin,,"(inaagrabyado, inagrabyado, aagrabyaduhin) v., inf. offend; treat unfairly"
agrarya,,adj. agrarian
agraryo,,adj. agrarian
agrasyada-do,,adj. having a work scholarship in a school
agrerian,,adj. agrarian
agresibo,,adj. aggressive
agridulse,,adj. bittersweet; sour-sweet
agrikultor,,agrikultor n. agriculturist
agrikultura,,n. agriculture
agrikultural,,agrikultural adj. agricultural
agrimensor,,agrimensor n. land surveyor
agtas,,"agtas n., adj. rival; opponent"
agting,,adj. knotted too tightly
aguha,,n. 1. needle; 2. hand of a watch; 3. needle of a compass
aguhilya,,n. hairpin
aguho,,"aguho n., bot. tree like a pine"
aguhon,,n. 1. compass for direction; 2. compass for drawing circles
agunias,,agunias n. solemn tolling of church bell for the dying
agunyas,,agunyas n. solemn tolling of church bell for the dying
agusan,,"(inaagusan, inagusan, aagusan) v., inf. flow over something (flood)"
agwa,,n. water
agwa-bendita,,n. holy water
agwa-plorida,,n. scented water
agwado,,adj. melted; liquefied; watery
agwador,,agwador n. water carrier
agwahe,,n. wake of a ship
agwanta,,agwanta n. self-control
agwantahin,,"agwantahin (inaagwanta, inagwanta, aagwantahin) v., inf. bear; endure; brook"
agwaras,,agwaras n. turpentine
agwardiyente,,n. alcohol; hard liquor
agwardyente,,n. alcohol; hard liquor
agwas,,"n., zoo. fish known as ""large-scaled mullet"""
agwasa,,"n., med. continuous flow of pus"
agwat,,agwat n. 1. distance; gap; 2. chasm; gap (fig. meaning)
agwat ng liko,,"comp., n. contour interval"
agwatan,,"agwatan (inaagwatan, inagwatan, aagwatan) v., inf. 1. put intervals between things; 2. stop affecting"
agwatyempo,,n. potion given to a sick person
ahas,,"n., zoo. snake; serpent"
ahasin,,ahasin n. dwelling place for snakes
ahedres,,n. chess (the game)
ahensiya,,ahensiya n. 1. agency; agent's office or district; 2. pawnshop
ahensiya-de-empenyos,,ahensiya-de-empenyos n. pawnshop
ahente,,"n. 1. agent; 2. middleman; 3. travelling salesman; 4. person from government checking sales, income, etc."
ahente sa seguro,,"comp., n. underwriter; insurance agent"
ahin,,"n., pl. things laid on the table for a meal"
ahit,,n. shave; shaving service
ahitan,,"(inaahitan, inahitan, aahitan) v., inf. shave someone; cut the hair"
ahitin,,"(inaahit, inahit, aahitin) v., inf. shave something off"
ahon,,n. 1. getting out of water; 2. trip to the town; 3. disembarkation ; 4-relief from hardships
ahunan,,ahunan n. 1. way going upward; 2. landing place for small boats
ahunin,,"(inaahon, inahon, aahunin) v., inf. revome from stove or fire"
aing. aing,,n. moan; complaining with moaning
aising,,n. icing (for cakes)
akademika,,akademika adj. academic; academical
akademiko,,akademiko n. academician
akademista,,n. academician
akademya,,n. academy
akala,,akala n. idea; belief; presumption; assumption
akalain,,"(inaakala, inakala, aakalain) v., inf. 1. think; consider; 2. imagine; 3. assume; 4. take into consideration; 5. intend to"
akap,,adj. embraced
akap,,n. embrace; hug
akapin,,"(inaakap, inakap, aakapin) v., inf. embrace; hug"
akasya,,aksaya adj. wasteful; wasted
akasya,,"n., bot. acasia"
akauntant,,n. accountant
akaunting,,n. accounting
akawntant,,n. accountant
akawntant,,n. accountant
akay,,adj. led by the hand
akayan,,akayan n. hatch; brood
akayin,,"(inaakay, inakay, aakayin) v., inf. guide, direct or lead (moral/physical)"
akbay,,akbay adj. having an arm on the shoulder of someone
akbay-akbay,,akbay-akbay adj. with the arms on each other's shoulder
akbayan,,"(inaakbayan, inakbayan, aakbayan) v., inf. escort; support"
akbayan,,"akbayan (inaakbayan, inakbayan, aakbayan) v., inf. put an arm over the shoulders of another"
akda,,akda n. literary work or coposition; writing
akibat,,"akibat n. strong feeeling (of anger, etc.)"
akibat,,n. band from shoulders to the waist as an insignia
akin,,gram. my; mine; belonging to me (poss. pron.)
akinin,,"(inaakin, inakin, aakinin) v., inf. appropriate something for oneself"
akitin,,"(inaakit, inakit, aakitin) v., inf. charm or attract"
akkorde,,n. chord; three or more notes in music
aklamasyon,,aklamasyon n. akklamation
aklas,,aklas n. strike; walkout
aklasan,,n. strike; walkout
aklat,,aklat n. book; tome; volume
aklat-talaan,,aklat-talaan n. notebook
aklatan,,n. library; bookshop; place for binding books
aklatang nagpapahiram,,nagpapahiram n. circulating library
aklimatado,,adj. acclimatized
akma,,akma adj. fitted; proper; suited
akma,,akma adj. ready to do something
akma,,akma n. threatening gesture
akmain,,"akmain (inaakma, inakma, aakmain) v., inf. be ready to do something"
akme,,n. pinnacle; height
akne,,"n., med. acne; skin eruption"
ako,,ako n. I (pers. pron.)
ako,,ako n. promise
ako mismo,,n. I myself
ako na rin,,comp. I myself
akompanya,,akompanya n. accompaniment (music)
akompanyador,,akompanyador n. accompanist (music)
akompanyahan,,"akompanyahan (inaakompanyahan, inakompanyahan, aakompanyahan) v., inf. accompany a singer on a musical instrument"
akompanyamiento,,n. accompaniment (music)
akompanyante,,n. accompanist (music)
akorde,,n. chord; harmony [music]
akostiks,,n. acoustics (science dealing with sound)
akrobat,,akrobat n. acrobat
akrobata,,akrobata n. acrobat
akrobatik,,adj. acrobatic
akrobatiko-ka,,akrobatiko-ka adj. acrobatic
akropobya,,n. acrophobia
aksaya,,aksaya n. waste; lavishment; extravagance
aksayahin,,"aksayahin (inaaksya, inaksaya, aaksayahin) v., inf. waste; dissipate; lose"
akselerador,,akselerador n. accelerator
aksesoriya,,aksesoriya n. apartment
aksesoriya,,aksesoriya n. apartment
aksesorya,,n. apartment/house for rent
aksesoryo,,n. attachment; accessory
aksidental,,aksidental adj. accidental; not deliberate
aksidental,,aksidental n. something not substantial
aksidente,,n. accident
aksis,,n. axis (axix of a wheel)
aksiyon,,aksiyon n. 1. action; motion; 2. acting in a play; 3. stock; share (in a company)
aksiyonista,,n. stockholder; shareholder
aksiyunan,,"aksiyunan (inaaksiyunan, inaksiyunan, aaksiyunan) v., inf. take action"
aksiyunista,,n. stockholder; shareholder
aksyon,,aksyon n. 1. action; motion; 2. acting in a play; 3. stock; share (in a company)
aksyunan,,"aksyunan (inaaksyunan, inaksyunan, aaksyunan) v., inf. take action"
akta,,n. record or minutes of a meeting
aktiba,,"adj., gram. activ in grammatical term"
aktiba-bo,,adj. active; energetic
aktibidad,,aktibidad n. activity
aktibista,,n. activist
akting,,"adj., n. 1. temporaty (adj.); 2. performing in a play, etc. (n)"
Aktinyum,,n. Actinium (Ac)
aktitud,,aktitud n. attitude
akto,,n. 1. act; action; 2. division of a play; 3. law; decree
aktor,,aktor n. actor
aktres,,aktres n. actress
aktris,,aktris n. actress
aktuhan,,"aktuhan (inaaktuhan, inaktuhan, aaktuhan) v., inf. be acted on"
aktwal,,aktwal adj. actual; real
akuin,,"(inaako, inako, aakuin) v., inf. do something which another should do, to show kindness"
akuin,,"(inaako, inako, aakuin) v., inf. stand as guarantee for"
akusado,,"adj., n. accused; the accused"
akusasyon,,akusasyon n. accusation in court
akustika,,akustika n. acoustics
akustiks,,n. acoustics
akustiks,,n. acoustics
akwaryum,,n. aquarium
akwatik,,adj. aquatic
akwatika,,akwatika n. aquatics
akwatiko,,akwatiko adj. aquatic
akwatiks,,n. aquatics
akyat,,akyat n. 1. rise; ascent; 2. visit; a going upstairs
akyat-panaog,,akyat-panaog adv. up and down the stairs
akyatan,,"akyatan (inaakyatan, inakyatan, aakyatan) v., inf. take something upstairs"
akyatan,,n. stairway
akyatin,,"akyatin (inaakyat, inakyat, aakyatin) v., inf. climb something (tree, etc.)"
akyatin,,n. place/way that slopes up
akyatin,,n. place/way that slopes up
ala,,"ala n., pron., coll. 1. nothing; zero; 2. null; 3. without"
Ala,,"Ala! intrj. exclamation of disapprovel or surprise, etc."
alaala,,alaala adj. worried; anxious
alaala,,n. 1. memory; recollection; 2. remembrance; 3. souvenir; 4. token; trophy
alab,,n. 1. blaze; 2. ardour
alabastro,,n. alabaster
alabok,,alabok n. surface dust; dust from the ground
alabwab,,alabwab n. slime; sandy soil
alaga,,alaga adj. well-kept; carefully tended
alaga,,alaga n. 1. someone/something being cared for or petted; 2. ward (juridical); 3. care
alagaan,,"(inaalagaan, inalagaan, aalagaan) v., inf. attend to; care for; nurse"
alagaan,,alagaan n. nursery pond (fish)
alagad,,alagad n. 1. follower; 2. disciple; 3. minister; 4. helper; servant
alagad ng batas,,alagad ng batas n. agent of the law
alagain,,alagain n. person/thing receiving tender care
alagang-alaga,,alagang-alaga adj. well-kept; carefully tended
alagata,,"alagata n. 1. constant caution; 2. constant wish, desire or ambition"
alagatain,,"(inaalagata, inalagata, aalagatain) v., inf. think of; consider"
alagaw,,"alagaw n., bot. plant with medicinal properties"
alahas,,n. jewel
alahero,,"n. jeweller (one who makes, repairs and sell jewels)"
alak,,n. 1. wine; alcohol; spirits; 2. wine cellar
alak-alakan,,alak-alakan n. the back of the knee
alak-bigas,,alak-bigas n. rice wine
alakalakan,,alakalakan n. back of the knee
alakan,,alakan n. 1. liquor/wine store; 2. distillery; 3. distilling apparatus
alakbat,,alakbat n. crossband from the shoulders to the hip
alakbay,,alakbay adj. having one arm over another's shoulder
alakbayan,,"alakbayan (inaalakbayan, inalakbayan, aalakbayan) v., inf. put the arm around someone's shoulder"
alakdan,,"alakdan n., zoo. scorpion"
alala,,alala adj. worried; anxious
alalad,,n. resonance; echo
alalahanin,,"(inaalalahan, inaalahan, aalalahanin) v., inf. 1. remember; 2. recall (from memory)"
alalaon,,conj. as though; it seems
alalaong baga'y,,alalaong baga'y comp. namely; that is
alalawa,,"alalawa n., zoo. house spider"
alalay,,n. 1. prop; support; 2. bracket; cleat; 3. helpful friend
alalay,,n. holding or carrying with care
alalayan,,"(inaalalayan, inalalayan, aalalayan) v., inf. 1. hold or carry carefully; 2. aid; support"
alam na alam,,alam na alam comp. familiar; well-known
"alam, alam",,1. n.; 2. adj. 1. knowledge; 2. alive to (realizing)
alamaam,,adj. cloudy (sky)
alamang,,"alamang n., zoo. 1. species of very small shrimp; 2. [fig.] small fry; unimportant person"
alamat,,alamat n. 1. folklore; tradition; 2. legend; mythe
alamat (mga -),,"n., pl. myths; mythology"
alambre,,n. wire
alambrera,,n. wire netting; wire screen
alamid,,"alamid n., zoo. large black mountain cat"
alamin,,"alamin (inaalam, inalam, aalamin) v., inf. get to know; find out"
alampay,,alampay n. shoulder-kerchief (worn with Filipina dress)
alampayan,,"alampayan (inaalampayan, inalampayan, aalampayan) v., inf. put a shoulder-kerchief on someone"
alan,,n. name; reputation; repute; denomination
alang-alang,,n. regard; respect; consideration
alang-alang sa,,comp. 1. on behalf of; because of; 2. in consideration of
alangaang,,n. stratosphere; space; outer void
alangan,,alangan adj. abnormal; irregular; improper; unworthy
alanganin,,alanganin adj. 1. doubtful; uncertain; perplexed; 2. insufficient
alanganin,,n. homosexual
alangas,,alangas adj. egoistic; conceited; daring; presumptuous
alangilan,,"n., bot. tree bearing aromatic flowers"
alap,,n. shift for doing one's work
alapaap,,n. 1. cirrus clouds; 2. [fig.] uncertainty; doubt
alapihan,,"n., zoo. centipede"
alapot,,alapot adj. ragged; tattered
alapot,,n. saddlebag; knapsack
alarakas,,n. fuss; ado
alarma,,n. 1. alarm bell; alarm clock; 2. alarm; fear
alarmado,,adj. 1. alarmed; afraid; 2. forewarned; given the alarm
alas,,"alas n. ""ace"" in playing cards"
alasas,,"alasas n., bot. leaves of screw palm, used in making mats and baskets"
alasuas,,alasuas n. oppressive or suffocating heat
alat,,adj. salt; salty
alat,,n. saltiness
alat,,"n., coll. policeman"
alat-alatan,,"alat-alatan (inaalat-alatan, inalat-alatan, aalat-alatan) v., inf. make a little salty"
alatan,,"(inaalatan, inalatan, aalatan) v., inf. make salty"
alatiit,,"n. squeaking sound from hinges, floor boards, etc."
alatwat,,alatwat n. dull echo
alawihaw,,"n., bot. large tree, used in furniture industry, et al."
alay,,n. 1. offering; 2. offering of flowers in May to Virgin Mary
alay-ay,,n. 1. scarecrow; 2. row; file
alayan,,"(inaalayan, inalayan, aalayan) v., inf. offer someone something"
alayan,,alayan n. ceremony in May of offering flowers to the Blessed Virgin
alba,,n. alb; long white robe worn by a priest at Mass
albatita,,n. albite (geology)
albay,,albay n. support at a house to prevent collaps
alboroto,,n. 1. outcry; riot; tumult; 2. tamtrum(s)
albularyo,,n. quack doctor; charlatan
album,,n. album
albumen,,n. 1. white of an egg; 2. a certain protein found in plants and animals
aldaba,,"n. latch (for fastening door, window or gate)"
aldabahan,,"(inaaldabahan, inaldabahan, aaldabahan) v., inf. latch; fasten with a latch"
aldabis,,aldabis n. slap with the back of the hand
aldabisin,,"aldabisin (inaaldabis, inaldabis, aaldabisin) v., inf. slap with the back of the hand"
ale,,"n. 1. madam, ma'am; 2. aunt; 3. stepmother"
alegasyon,,alegasyon n. allegation
alegato,,n. brief (legal term)
alegoria,,alegoria n. allegory
alegoriya,,n. allegory
alegro,,"n., adv. 1. allegro (music) (n); 2. lively (music) (adv.)"
Aleman,,"Aleman n., adj. German man (n); German (adj.)"
Alemana,,"n., adj. German woman (n); German (adj.)"
Alemania,,n. Germany
Alemanya,,n. Germany
alerdyi,,alerdyi n. allergy
alerdyik,,adj. allergic
alero,,n. eaves; gable-end of a building
alerta,,"adj., n. 1. alert; vigilant (adj.); 2. military alert (n)"
alerto,,"adj., n. 1. alert; vigilant (adj.); 2. military alert (n)"
algodon,,n. cotton
algopobya,,"n., med. algophobia (fear of pain)"
alhebra,,alhebra n. algebra
ali,,"n. 1. madam, ma'am; 2. aunt; 3. stepmother"
ali,,n. evil or diabolic influence
alibadbad,,alibadbad n. nausea
alibadbaran,,"alibadbaran (inaalibadbaran, inalibadbaran, aalibadbaran) v., inf. feel nausea; feel nauseated"
alibambang,,alibambang n. 1. species of tree (bot.); 2. species of butterfly (zoo.)
alibangbang,,"alibangbang 1. bot., 2. zoo. 1. tree (the leaves used for flavouring/flavoring; 2. species of butterfly"
alibay,,alibay n. alibi
alibugha,,alibugha adj. 1. irresponsible; dishonest; 2. wasteful
aligando,,aligando adj. loafing; idling
aligasin,,"aligasin n., zoo. small kind of mullet fish"
alige,,n. fat of crabs
aligi,,aligi n. the fat or ovary of crabs and shrimps
aligid,,"aligid adj., adv. circling around; hovering; lingering"
aligin,,"n., mat. variable"
aligutgot,,aligutgot adj. 1. confused; mixed-up; 2. mischievous (as a child)
alik-ik,,alik-ik n. giggle; chuckle; soft laugh
alikabok,,alikabok n. dust
alikabukin,,"alikabukin (inaalikabok, inalikabok, aalikabukin) v., inf. be (become) covered with dust"
aliktiya,,"aliktiya n., adj. 1. offensive words to make someone angry (n); 2. malicious; evil-minded (adj.)"
aliktya,,"aliktya n., adj. 1. offensive words to make someone angry (n); 2. malicious; evil-minded (adj.)"
alila,,alila n. servant; houseboy; housemaid; domestic helper
alilain,,"(inaalila, inalila, aalilain) v., inf. treat someone like a servant"
alilang-kanin,,n. servant who works for food only
alilgin,,"adj., mat. variable"
alilisan,,alilisan n. sugarmill
alilisin,,"alilisin (inaalilis, inalilis, aalilisin) v., inf. mill sugarcanes"
alimango,,"n., zoo. species of large black crab"
